id	choice	smarttv1	smarttv2	smarttv3	s_screen1	s_screen2	s_screen3	threed1	threed2	threed3	s_price1	s_price2	s_price3
13	3	0	1	0	40	30	50	0	1	0	400	600	500
13	3	1	0	0	30	40	50	0	1	0	600	500	400
14	3	1	0	0	30	40	50	1	0	0	400	600	500
14	1	0	1	1	50	30	40	1	0	0	400	600	500
14	4	0	1	0	30	40	50	1	0	1	400	500	600
14	2	1	0	1	30	40	50	0	1	1	500	400	600
14	4	1	0	1	40	50	30	1	0	1	400	600	500
14	3	0	0	1	40	30	50	0	0	1	600	500	400
14	3	0	1	0	30	40	50	0	1	0	500	600	400
14	2	0	1	0	30	50	40	1	0	0	600	400	500
14	4	0	1	1	30	40	50	1	0	0	500	400	600
14	2	0	1	1	30	50	40	1	1	0	400	500	600
14	3	0	1	0	40	30	50	0	1	0	400	600	500
14	3	1	0	0	30	40	50	0	1	0	600	500	400
15	3	1	0	0	30	40	50	1	0	0	400	600	500
15	1	0	1	1	50	30	40	1	0	0	400	600	500
15	2	0	1	0	30	40	50	1	0	1	400	500	600
15	2	1	0	1	30	40	50	0	1	1	500	400	600
15	1	1	0	1	40	50	30	1	0	1	400	600	500
15	3	0	0	1	40	30	50	0	0	1	600	500	400
15	3	0	1	0	30	40	50	0	1	0	500	600	400
15	2	0	1	0	30	50	40	1	0	0	600	400	500
15	2	0	1	1	30	40	50	1	0	0	500	400	600
15	2	0	1	1	30	50	40	1	1	0	400	500	600
15	3	0	1	0	40	30	50	0	1	0	400	600	500
15	3	1	0	0	30	40	50	0	1	0	600	500	400
16	1	1	0	0	30	40	50	1	0	0	400	600	500
16	1	0	1	1	50	30	40	1	0	0	400	600	500
16	1	0	1	0	30	40	50	1	0	1	400	500	600
16	2	1	0	1	30	40	50	0	1	1	500	400	600
16	1	1	0	1	40	50	30	1	0	1	400	600	500
16	2	0	0	1	40	30	50	0	0	1	600	500	400
16	1	0	1	0	30	40	50	0	1	0	500	600	400
16	2	0	1	0	30	50	40	1	0	0	600	400	500
16	2	0	1	1	30	40	50	1	0	0	500	400	600
16	2	0	1	1	30	50	40	1	1	0	400	500	600
16	3	0	1	0	40	30	50	0	1	0	400	600	500
16	4	1	0	0	30	40	50	0	1	0	600	500	400
17	1	1	0	0	30	40	50	1	0	0	400	600	500
17	1	0	1	1	50	30	40	1	0	0	400	600	500
17	1	0	1	0	30	40	50	1	0	1	400	500	600
17	2	1	0	1	30	40	50	0	1	1	500	400	600
17	1	1	0	1	40	50	30	1	0	1	400	600	500
17	3	0	0	1	40	30	50	0	0	1	600	500	400
17	2	0	1	0	30	40	50	0	1	0	500	600	400
17	4	0	1	0	30	50	40	1	0	0	600	400	500
17	1	0	1	1	30	40	50	1	0	0	500	400	600
17	1	0	1	1	30	50	40	1	1	0	400	500	600
17	1	0	1	0	40	30	50	0	1	0	400	600	500
17	3	1	0	0	30	40	50	0	1	0	600	500	400
18	3	1	0	0	30	40	50	1	0	0	400	600	500
18	1	0	1	1	50	30	40	1	0	0	400	600	500
18	3	0	1	0	30	40	50	1	0	1	400	500	600
18	3	1	0	1	30	40	50	0	1	1	500	400	600
18	2	1	0	1	40	50	30	1	0	1	400	600	500
18	3	0	0	1	40	30	50	0	0	1	600	500	400
18	3	0	1	0	30	40	50	0	1	0	500	600	400
18	2	0	1	0	30	50	40	1	0	0	600	400	500
18	3	0	1	1	30	40	50	1	0	0	500	400	600
18	2	0	1	1	30	50	40	1	1	0	400	500	600
18	3	0	1	0	40	30	50	0	1	0	400	600	500
18	3	1	0	0	30	40	50	0	1	0	600	500	400
19	2	1	0	0	30	40	50	1	0	0	400	600	500
19	2	0	1	1	50	30	40	1	0	0	400	600	500
19	1	0	1	0	30	40	50	1	0	1	400	500	600
19	3	1	0	1	30	40	50	0	1	1	500	400	600
19	3	1	0	1	40	50	30	1	0	1	400	600	500
19	1	0	0	1	40	30	50	0	0	1	600	500	400
19	3	0	1	0	30	40	50	0	1	0	500	600	400
19	3	0	1	0	30	50	40	1	0	0	600	400	500
19	2	0	1	1	30	40	50	1	0	0	500	400	600
19	3	0	1	1	30	50	40	1	1	0	400	500	600
19	3	0	1	0	40	30	50	0	1	0	400	600	500
19	1	1	0	0	30	40	50	0	1	0	600	500	400
20	1	1	0	0	30	40	50	1	0	0	400	600	500
20	1	0	1	1	50	30	40	1	0	0	400	600	500
20	2	0	1	0	30	40	50	1	0	1	400	500	600
20	2	1	0	1	30	40	50	0	1	1	500	400	600
20	1	1	0	1	40	50	30	1	0	1	400	600	500
20	3	0	0	1	40	30	50	0	0	1	600	500	400
20	3	0	1	0	30	40	50	0	1	0	500	600	400
20	2	0	1	0	30	50	40	1	0	0	600	400	500
20	2	0	1	1	30	40	50	1	0	0	500	400	600
20	2	0	1	1	30	50	40	1	1	0	400	500	600
20	1	0	1	0	40	30	50	0	1	0	400	600	500
20	3	1	0	0	30	40	50	0	1	0	600	500	400
21	3	1	0	0	30	40	50	1	0	0	400	600	500
21	1	0	1	1	50	30	40	1	0	0	400	600	500
21	2	0	1	0	30	40	50	1	0	1	400	500	600
21	2	1	0	1	30	40	50	0	1	1	500	400	600
21	1	1	0	1	40	50	30	1	0	1	400	600	500
21	3	0	0	1	40	30	50	0	0	1	600	500	400
21	3	0	1	0	30	40	50	0	1	0	500	600	400
21	3	0	1	0	30	50	40	1	0	0	600	400	500
21	2	0	1	1	30	40	50	1	0	0	500	400	600
21	2	0	1	1	30	50	40	1	1	0	400	500	600
21	3	0	1	0	40	30	50	0	1	0	400	600	500
21	3	1	0	0	30	40	50	0	1	0	600	500	400
22	1	1	0	0	30	40	50	1	0	0	400	600	500
22	1	0	1	1	50	30	40	1	0	0	400	600	500
22	1	0	1	0	30	40	50	1	0	1	400	500	600
22	2	1	0	1	30	40	50	0	1	1	500	400	600
22	1	1	0	1	40	50	30	1	0	1	400	600	500
22	3	0	0	1	40	30	50	0	0	1	600	500	400
22	3	0	1	0	30	40	50	0	1	0	500	600	400
22	2	0	1	0	30	50	40	1	0	0	600	400	500
22	2	0	1	1	30	40	50	1	0	0	500	400	600
22	1	0	1	1	30	50	40	1	1	0	400	500	600
22	1	0	1	0	40	30	50	0	1	0	400	600	500
22	3	1	0	0	30	40	50	0	1	0	600	500	400
23	1	1	0	0	30	40	50	1	0	0	400	600	500
23	3	0	1	1	50	30	40	1	0	0	400	600	500
23	1	0	1	0	30	40	50	1	0	1	400	500	600
23	3	1	0	1	30	40	50	0	1	1	500	400	600
23	1	1	0	1	40	50	30	1	0	1	400	600	500
23	3	0	0	1	40	30	50	0	0	1	600	500	400
23	1	0	1	0	30	40	50	0	1	0	500	600	400
23	2	0	1	0	30	50	40	1	0	0	600	400	500
23	2	0	1	1	30	40	50	1	0	0	500	400	600
23	3	0	1	1	30	50	40	1	1	0	400	500	600
23	2	0	1	0	40	30	50	0	1	0	400	600	500
23	2	1	0	0	30	40	50	0	1	0	600	500	400
24	2	1	0	0	30	40	50	1	0	0	400	600	500
24	2	0	1	1	50	30	40	1	0	0	400	600	500
24	2	0	1	0	30	40	50	1	0	1	400	500	600
24	2	1	0	1	30	40	50	0	1	1	500	400	600
24	2	1	0	1	40	50	30	1	0	1	400	600	500
24	2	0	0	1	40	30	50	0	0	1	600	500	400
24	2	0	1	0	30	40	50	0	1	0	500	600	400
24	2	0	1	0	30	50	40	1	0	0	600	400	500
24	2	0	1	1	30	40	50	1	0	0	500	400	600
24	3	0	1	1	30	50	40	1	1	0	400	500	600
24	2	0	1	0	40	30	50	0	1	0	400	600	500
24	2	1	0	0	30	40	50	0	1	0	600	500	400
25	1	1	0	0	30	40	50	1	0	0	400	600	500
25	1	0	1	1	50	30	40	1	0	0	400	600	500
25	1	0	1	0	30	40	50	1	0	1	400	500	600
25	2	1	0	1	30	40	50	0	1	1	500	400	600
25	1	1	0	1	40	50	30	1	0	1	400	600	500
25	3	0	0	1	40	30	50	0	0	1	600	500	400
25	3	0	1	0	30	40	50	0	1	0	500	600	400
25	2	0	1	0	30	50	40	1	0	0	600	400	500
25	2	0	1	1	30	40	50	1	0	0	500	400	600
25	2	0	1	1	30	50	40	1	1	0	400	500	600
25	1	0	1	0	40	30	50	0	1	0	400	600	500
25	3	1	0	0	30	40	50	0	1	0	600	500	400
26	2	1	0	0	30	40	50	1	0	0	400	600	500
26	2	0	1	1	50	30	40	1	0	0	400	600	500
26	1	0	1	0	30	40	50	1	0	1	400	500	600
26	3	1	0	1	30	40	50	0	1	1	500	400	600
26	2	1	0	1	40	50	30	1	0	1	400	600	500
26	3	0	0	1	40	30	50	0	0	1	600	500	400
26	2	0	1	0	30	40	50	0	1	0	500	600	400
26	2	0	1	0	30	50	40	1	0	0	600	400	500
26	3	0	1	1	30	40	50	1	0	0	500	400	600
26	2	0	1	1	30	50	40	1	1	0	400	500	600
26	3	0	1	0	40	30	50	0	1	0	400	600	500
26	2	1	0	0	30	40	50	0	1	0	600	500	400
27	1	1	0	0	30	40	50	1	0	0	400	600	500
27	1	0	1	1	50	30	40	1	0	0	400	600	500
27	3	0	1	0	30	40	50	1	0	1	400	500	600
27	3	1	0	1	30	40	50	0	1	1	500	400	600
27	2	1	0	1	40	50	30	1	0	1	400	600	500
27	3	0	0	1	40	30	50	0	0	1	600	500	400
27	3	0	1	0	30	40	50	0	1	0	500	600	400
27	2	0	1	0	30	50	40	1	0	0	600	400	500
27	3	0	1	1	30	40	50	1	0	0	500	400	600
27	2	0	1	1	30	50	40	1	1	0	400	500	600
27	3	0	1	0	40	30	50	0	1	0	400	600	500
27	3	1	0	0	30	40	50	0	1	0	600	500	400
28	1	1	0	0	30	40	50	1	0	0	400	600	500
28	2	0	1	1	50	30	40	1	0	0	400	600	500
28	1	0	1	0	30	40	50	1	0	1	400	500	600
28	3	1	0	1	30	40	50	0	1	1	500	400	600
28	3	1	0	1	40	50	30	1	0	1	400	600	500
28	1	0	0	1	40	30	50	0	0	1	600	500	400
28	3	0	1	0	30	40	50	0	1	0	500	600	400
28	3	0	1	0	30	50	40	1	0	0	600	400	500
28	2	0	1	1	30	40	50	1	0	0	500	400	600
28	3	0	1	1	30	50	40	1	1	0	400	500	600
28	3	0	1	0	40	30	50	0	1	0	400	600	500
28	1	1	0	0	30	40	50	0	1	0	600	500	400
29	1	1	0	0	30	40	50	1	0	0	400	600	500
29	2	0	1	1	50	30	40	1	0	0	400	600	500
29	3	0	1	0	30	40	50	1	0	1	400	500	600
29	2	1	0	1	30	40	50	0	1	1	500	400	600
29	1	1	0	1	40	50	30	1	0	1	400	600	500
29	3	0	0	1	40	30	50	0	0	1	600	500	400
29	3	0	1	0	30	40	50	0	1	0	500	600	400
29	2	0	1	0	30	50	40	1	0	0	600	400	500
29	2	0	1	1	30	40	50	1	0	0	500	400	600
29	2	0	1	1	30	50	40	1	1	0	400	500	600
29	3	0	1	0	40	30	50	0	1	0	400	600	500
29	3	1	0	0	30	40	50	0	1	0	600	500	400
30	2	1	0	0	30	40	50	1	0	0	400	600	500
30	1	0	1	1	50	30	40	1	0	0	400	600	500
30	4	0	1	0	30	40	50	1	0	1	400	500	600
30	2	1	0	1	30	40	50	0	1	1	500	400	600
30	1	1	0	1	40	50	30	1	0	1	400	600	500
30	3	0	0	1	40	30	50	0	0	1	600	500	400
30	3	0	1	0	30	40	50	0	1	0	500	600	400
30	3	0	1	0	30	50	40	1	0	0	600	400	500
30	2	0	1	1	30	40	50	1	0	0	500	400	600
30	4	0	1	1	30	50	40	1	1	0	400	500	600
30	3	0	1	0	40	30	50	0	1	0	400	600	500
30	3	1	0	0	30	40	50	0	1	0	600	500	400
31	1	1	0	0	30	40	50	1	0	0	400	600	500
31	3	0	1	1	50	30	40	1	0	0	400	600	500
31	2	0	1	0	30	40	50	1	0	1	400	500	600
31	3	1	0	1	30	40	50	0	1	1	500	400	600
31	1	1	0	1	40	50	30	1	0	1	400	600	500
31	3	0	0	1	40	30	50	0	0	1	600	500	400
31	2	0	1	0	30	40	50	0	1	0	500	600	400
31	2	0	1	0	30	50	40	1	0	0	600	400	500
31	3	0	1	1	30	40	50	1	0	0	500	400	600
31	2	0	1	1	30	50	40	1	1	0	400	500	600
31	2	0	1	0	40	30	50	0	1	0	400	600	500
31	4	1	0	0	30	40	50	0	1	0	600	500	400
32	3	1	0	0	30	40	50	1	0	0	400	600	500
32	1	0	1	1	50	30	40	1	0	0	400	600	500
32	3	0	1	0	30	40	50	1	0	1	400	500	600
32	2	1	0	1	30	40	50	0	1	1	500	400	600
32	1	1	0	1	40	50	30	1	0	1	400	600	500
32	3	0	0	1	40	30	50	0	0	1	600	500	400
32	3	0	1	0	30	40	50	0	1	0	500	600	400
32	3	0	1	0	30	50	40	1	0	0	600	400	500
32	1	0	1	1	30	40	50	1	0	0	500	400	600
32	1	0	1	1	30	50	40	1	1	0	400	500	600
32	2	0	1	0	40	30	50	0	1	0	400	600	500
32	3	1	0	0	30	40	50	0	1	0	600	500	400
33	3	1	0	0	30	40	50	1	0	0	400	600	500
33	1	0	1	1	50	30	40	1	0	0	400	600	500
33	1	0	1	0	30	40	50	1	0	1	400	500	600
33	2	1	0	1	30	40	50	0	1	1	500	400	600
33	1	1	0	1	40	50	30	1	0	1	400	600	500
33	3	0	0	1	40	30	50	0	0	1	600	500	400
33	2	0	1	0	30	40	50	0	1	0	500	600	400
33	1	0	1	0	30	50	40	1	0	0	600	400	500
33	1	0	1	1	30	40	50	1	0	0	500	400	600
33	1	0	1	1	30	50	40	1	1	0	400	500	600
33	2	0	1	0	40	30	50	0	1	0	400	600	500
33	2	1	0	0	30	40	50	0	1	0	600	500	400
34	3	1	0	0	30	40	50	1	0	0	400	600	500
34	1	0	1	1	50	30	40	1	0	0	400	600	500
34	2	0	1	0	30	40	50	1	0	1	400	500	600
34	2	1	0	1	30	40	50	0	1	1	500	400	600
34	1	1	0	1	40	50	30	1	0	1	400	600	500
34	3	0	0	1	40	30	50	0	0	1	600	500	400
34	3	0	1	0	30	40	50	0	1	0	500	600	400
34	2	0	1	0	30	50	40	1	0	0	600	400	500
34	2	0	1	1	30	40	50	1	0	0	500	400	600
34	2	0	1	1	30	50	40	1	1	0	400	500	600
34	3	0	1	0	40	30	50	0	1	0	400	600	500
34	3	1	0	0	30	40	50	0	1	0	600	500	400
35	4	1	0	0	30	40	50	1	0	0	400	600	500
35	1	0	1	1	50	30	40	1	0	0	400	600	500
35	1	0	1	0	30	40	50	1	0	1	400	500	600
35	2	1	0	1	30	40	50	0	1	1	500	400	600
35	1	1	0	1	40	50	30	1	0	1	400	600	500
35	3	0	0	1	40	30	50	0	0	1	600	500	400
35	4	0	1	0	30	40	50	0	1	0	500	600	400
35	4	0	1	0	30	50	40	1	0	0	600	400	500
35	4	0	1	1	30	40	50	1	0	0	500	400	600
35	1	0	1	1	30	50	40	1	1	0	400	500	600
35	4	0	1	0	40	30	50	0	1	0	400	600	500
35	4	1	0	0	30	40	50	0	1	0	600	500	400
36	1	1	0	0	30	40	50	1	0	0	400	600	500
36	3	0	1	1	50	30	40	1	0	0	400	600	500
36	3	0	1	0	30	40	50	1	0	1	400	500	600
36	1	1	0	1	30	40	50	0	1	1	500	400	600
36	1	1	0	1	40	50	30	1	0	1	400	600	500
36	3	0	0	1	40	30	50	0	0	1	600	500	400
36	3	0	1	0	30	40	50	0	1	0	500	600	400
36	3	0	1	0	30	50	40	1	0	0	600	400	500
36	2	0	1	1	30	40	50	1	0	0	500	400	600
36	1	0	1	1	30	50	40	1	1	0	400	500	600
36	3	0	1	0	40	30	50	0	1	0	400	600	500
36	1	1	0	0	30	40	50	0	1	0	600	500	400
37	3	1	0	0	30	40	50	1	0	0	400	600	500
37	2	0	1	1	50	30	40	1	0	0	400	600	500
37	3	0	1	0	30	40	50	1	0	1	400	500	600
37	2	1	0	1	30	40	50	0	1	1	500	400	600
37	1	1	0	1	40	50	30	1	0	1	400	600	500
37	3	0	0	1	40	30	50	0	0	1	600	500	400
37	3	0	1	0	30	40	50	0	1	0	500	600	400
37	2	0	1	0	30	50	40	1	0	0	600	400	500
37	2	0	1	1	30	40	50	1	0	0	500	400	600
37	2	0	1	1	30	50	40	1	1	0	400	500	600
37	1	0	1	0	40	30	50	0	1	0	400	600	500
37	3	1	0	0	30	40	50	0	1	0	600	500	400
38	4	1	0	0	30	40	50	1	0	0	400	600	500
38	4	0	1	1	50	30	40	1	0	0	400	600	500
38	4	0	1	0	30	40	50	1	0	1	400	500	600
38	4	1	0	1	30	40	50	0	1	1	500	400	600
38	4	1	0	1	40	50	30	1	0	1	400	600	500
38	4	0	0	1	40	30	50	0	0	1	600	500	400
38	4	0	1	0	30	40	50	0	1	0	500	600	400
38	4	0	1	0	30	50	40	1	0	0	600	400	500
38	4	0	1	1	30	40	50	1	0	0	500	400	600
38	4	0	1	1	30	50	40	1	1	0	400	500	600
38	4	0	1	0	40	30	50	0	1	0	400	600	500
38	4	1	0	0	30	40	50	0	1	0	600	500	400
39	3	1	0	0	30	40	50	1	0	0	400	600	500
39	1	0	1	1	50	30	40	1	0	0	400	600	500
39	2	0	1	0	30	40	50	1	0	1	400	500	600
39	2	1	0	1	30	40	50	0	1	1	500	400	600
39	1	1	0	1	40	50	30	1	0	1	400	600	500
39	3	0	0	1	40	30	50	0	0	1	600	500	400
39	3	0	1	0	30	40	50	0	1	0	500	600	400
39	2	0	1	0	30	50	40	1	0	0	600	400	500
39	2	0	1	1	30	40	50	1	0	0	500	400	600
39	2	0	1	1	30	50	40	1	1	0	400	500	600
39	3	0	1	0	40	30	50	0	1	0	400	600	500
39	3	1	0	0	30	40	50	0	1	0	600	500	400
40	3	1	0	0	30	40	50	1	0	0	400	600	500
40	1	0	1	1	50	30	40	1	0	0	400	600	500
40	3	0	1	0	30	40	50	1	0	1	400	500	600
40	3	1	0	1	30	40	50	0	1	1	500	400	600
40	1	1	0	1	40	50	30	1	0	1	400	600	500
40	3	0	0	1	40	30	50	0	0	1	600	500	400
40	3	0	1	0	30	40	50	0	1	0	500	600	400
40	2	0	1	0	30	50	40	1	0	0	600	400	500
40	3	0	1	1	30	40	50	1	0	0	500	400	600
40	2	0	1	1	30	50	40	1	1	0	400	500	600
40	3	0	1	0	40	30	50	0	1	0	400	600	500
40	2	1	0	0	30	40	50	0	1	0	600	500	400
41	4	1	0	0	30	40	50	1	0	0	400	600	500
41	2	0	1	1	50	30	40	1	0	0	400	600	500
41	1	0	1	0	30	40	50	1	0	1	400	500	600
41	3	1	0	1	30	40	50	0	1	1	500	400	600
41	4	1	0	1	40	50	30	1	0	1	400	600	500
41	2	0	0	1	40	30	50	0	0	1	600	500	400
41	3	0	1	0	30	40	50	0	1	0	500	600	400
41	3	0	1	0	30	50	40	1	0	0	600	400	500
41	4	0	1	1	30	40	50	1	0	0	500	400	600
41	4	0	1	1	30	50	40	1	1	0	400	500	600
